ID,date tested,subcaste,focal colony,treatment,time tested,time dissected,stimulus colony,raw headwidth,headwidth (mm),estimated brain mass,DA raw,DA corrected,DA/brain mass,5-HT raw,5-HT corrected,5-HT/brain mass,OA raw,OA corrected,OA/brain mass,OA/brain mass without excluded,avoid,no response,antennation,flared,raised gaster,lunge,bite,non agg freq,agg freq,agg metric,movement line crosses
OA15,10_22_14,minor,OS_H,OA topical,24,48,OS_B,16.5,0.99,44.437,179.0917696,492.5023664,11.08315967,97.4069388,267.8690817,6.028064039,217.1567164,597.1809701,13.43882283,13.43882283,2,0,19,22,1,3,0,2,26,2.604166667,12
CNT14,10_22_14,minor,OS_H,control,15,52,OS_B,16.5,0.99,44.437,170.4276014,468.6759039,10.54697446,92.575881,254.5836728,5.72909226,121.593361,334.3817428,7.524849624,7.524849624,6,0,32,11,0,0,0,6,11,2.102040816,4
CNT15,10_22_14,minor,OS_H,control,28,60,OS_B,16.5,0.99,44.437,179.4650558,493.5289035,11.10626063,86.5441217,237.9963347,5.355814629,68.26331268,187.7241099,4.224500076,4.224500076,1,1,13,3,0,0,0,2,3,2.055555556,2
OA16,10_22_14,minor,OS_H,OA topical,16,44,OS_B,17,1.02,45.376,174.8088021,480.7242058,10.59423937,94.41931095,259.6531051,5.722256372,161.4235522,443.9147686,9.783029984,9.783029984,0,0,7,5,0,12,0,0,17,3.708333333,0
OA17,10_27_14,minor,OS_H,OA topical,16,54,OS_B,16,0.96,43.498,187.18538,514.759795,11.8341026,95.2005444,261.8014971,6.018701943,406.5278139,1117.951488,25.70121588,,5,0,15,16,0,3,0,5,19,2.512820513,14
CNT16,10_27_14,minor,OS_H,control,23,48,OS_B,18,1.08,47.254,187.43818,515.454995,10.90817698,99.24626876,272.9272391,5.775748912,118.5162636,325.9197249,6.897188067,6.897188067,4,0,11,11,0,0,0,4,11,2.269230769,2
CNT17,10_27_14,minor,OS_H,control,15,58,OS_B,16,0.96,43.498,196.5769,540.586475,12.42784668,105.5685261,290.3134468,6.674179199,267.6387353,736.0065221,16.92046812,,0,0,5,13,1,4,0,0,18,3.041666667,
OA18,10_27_14,minor,OS_H,OA topical,23,52,OS_B,16,0.96,43.498,168.08634,462.237435,10.62663651,96.54695106,265.5041154,6.103823519,301.0999676,828.0249109,19.03593064,,0,0,15,28,8,3,0,0,39,2.596774194,20
OA19,10_27_14,minor,OS_H,OA topical,15,60,OS_B,17.5,1.05,46.315,182.43906,501.707415,10.83250383,104.1375625,286.3782969,6.18327317,118.6698925,326.3422044,7.046144972,7.046144972,4,1,9,2,0,2,0,5,4,2.166666667,6
CNT18,10_27_14,minor,OS_H,control,23,52,OS_B,16.5,0.99,44.437,175.31642,482.120155,10.84952078,104.5083122,287.3978586,6.46753513,122.2759047,336.2587379,7.567089091,7.567089091,18,0,14,9,0,0,0,18,9,1.780487805,25
CNT19,10_27_14,minor,OS_H,control,18,56,OS_B,16,0.96,43.498,,,,,,,,,,,1,0,19,3,0,0,0,1,3,2.086956522,17
OA20,10_27_14,minor,OS_H,OA topical,22,52,OS_B,16,0.96,43.498,218.07754,599.713235,13.78714504,87.38227964,240.301269,5.5244211,101.8048511,279.9633405,6.436234782,6.436234782,3,0,7,17,3,2,0,3,22,2.571428571,1
OA21,10_27_14,minor,OS_H,OA topical,15,59,OS_B,15.5,0.93,42.559,198.1569,544.931475,12.8041419,118.7073737,326.4452777,7.670417013,163.064383,448.4270533,10.53659751,10.53659751,2,0,35,14,0,2,0,2,16,2.339622642,4
CNT20,10_27_14,minor,OS_H,control,23,50,OS_B,17.5,1.05,46.315,184.7269,507.998975,10.96834665,91.03123682,250.3359013,5.405071818,71.31377795,196.1128894,4.234327742,4.234327742,4,1,24,1,0,1,0,5,2,1.967741935,53
